District,Variety,Month,Year,Modal_Price_(Rs./Quintal)
Sangli,Varalaxmi,Sep,2017,5500
Gadchiroli,Desi,Jan,2017,4800
Gadchiroli,Desi,Jan,2017,4800
Gadchiroli,Other,Nov,2017,4500
Gadchiroli,Desi,Jan,2017,4800
Gadchiroli,Desi,Feb,2017,4800
Gadchiroli,Desi,Jan,2017,5000
Gadchiroli,Desi,Feb,2017,4800
Gadchiroli,Desi,Jan,2017,4800
Gadchiroli,Other,Nov,2017,4500
Gadchiroli,Desi,Jan,2017,4800
Gadchiroli,Other,Nov,2017,4500
Gadchiroli,Desi,Jan,2018,4500
Gadchiroli,Desi,Feb,2017,4800
Gadchiroli,Other,Nov,2017,4500
Gadchiroli,Desi,Feb,2017,4800
Gadchiroli,Desi,Mar,2017,5000
Gadchiroli,Desi,Feb,2018,4500
Gadchiroli,Desi,Nov,2017,4500
Gadchiroli,Desi,Jan,2018,4500
Gadchiroli,Desi,Feb,2018,4500
Gadchiroli,Desi,Jan,2018,4500
Gadchiroli,Desi,Jan,2017,4800
Gadchiroli,Desi,Nov,2017,4350
Gadchiroli,Other,Nov,2017,4500
Gadchiroli,Desi,Jan,2017,4800
Gadchiroli,Desi,Mar,2017,4900
Gadchiroli,Desi,Jan,2018,4500
Gadchiroli,Desi,Jan,2017,4800
Gadchiroli,Desi,Feb,2017,4800
Gadchiroli,Desi,Jan,2017,4800
Gadchiroli,Desi,Feb,2017,5200
Gadchiroli,Desi,Feb,2017,4800
Gadchiroli,Desi,Jan,2017,4800
Gadchiroli,Desi,Nov,2017,4350
Gadchiroli,Desi,Jan,2017,4800
Gadchiroli,Desi,Feb,2017,4800
Gadchiroli,H-4(A) 27mm FIne,Jan,2018,4500
Gadchiroli,Desi,Jan,2017,4800
Gadchiroli,Desi,Feb,2017,4800
Gadchiroli,Desi,Jan,2017,4600
Gadchiroli,Desi,Feb,2018,4500
Gadchiroli,Desi,Feb,2017,4800
Gadchiroli,Desi,Jan,2017,4750
Gadchiroli,Desi,Feb,2018,4500
Gadchiroli,Desi,Feb,2017,4800
Gadchiroli,Desi,Feb,2017,4900
Gadchiroli,Desi,Jan,2017,4600
Gadchiroli,Desi,Feb,2017,4800
Gadchiroli,Desi,Jan,2017,4550
Gadchiroli,Desi,Feb,2018,4500
Gadchiroli,Desi,Feb,2017,4800
Gadchiroli,Desi,Jan,2018,4500
Gadchiroli,Desi,Mar,2017,4800
Gadchiroli,Desi,Feb,2017,4900
Gadchiroli,Desi,Jan,2017,4500
Gadchiroli,Desi,Feb,2017,4800
Gadchiroli,Desi,Jan,2018,4500
Gadchiroli,Desi,Feb,2017,4800
Gadchiroli,Desi,Mar,2017,4800
Gadchiroli,Desi,Jan,2018,4500
Hingoli,Desi,Nov,2017,4305
Hingoli,Desi,Mar,2017,5450
Hingoli,Desi,Jan,2017,5550
Hingoli,Desi,Nov,2017,4300
Hingoli,Desi,Mar,2017,5550
Hingoli,Desi,Dec,2017,5250
Hingoli,Desi,Nov,2017,4325
Hingoli,Desi,Jan,2017,5550
Hingoli,Desi,Apr,2017,5100
Hingoli,Desi,Nov,2017,4250
Hingoli,Desi,Feb,2017,5450
Hingoli,Desi,Nov,2017,4250
Hingoli,Desi,Mar,2017,5450
Hingoli,Desi,Apr,2017,5100
Hingoli,Desi,Nov,2017,4200
Hingoli,Desi,Mar,2017,5450
Hingoli,Desi,Feb,2018,4750
Hingoli,Desi,Nov,2017,4150
Hingoli,Desi,Jan,2017,5500
Hingoli,Desi,Feb,2018,4700
Hingoli,Desi,Nov,2017,4175
Hingoli,Desi,Mar,2017,5550
Hingoli,Desi,Feb,2018,4400
Hingoli,Desi,Nov,2017,4200
Hingoli,Desi,Feb,2018,5000
Hingoli,Desi,Feb,2017,5450
Hingoli,Desi,Dec,2017,4750
Hingoli,Desi,Apr,2017,5150
Hingoli,Desi,Nov,2017,4250
Hingoli,Desi,Feb,2018,4950
Hingoli,Desi,Feb,2017,5350
Hingoli,Desi,Nov,2017,4150
Hingoli,Desi,Mar,2017,5550
Hingoli,Desi,Feb,2017,5350
Hingoli,Desi,Dec,2017,4650
Hingoli,Desi,Nov,2017,4190
Hingoli,Desi,Mar,2017,5450
Hingoli,Desi,Jan,2017,5250
Hingoli,Desi,Feb,2018,5000
Hingoli,Desi,Feb,2017,5350
Hingoli,Desi,Nov,2017,4150
Hingoli,Desi,Mar,2017,5400
Hingoli,Desi,Jan,2017,5250
Hingoli,Desi,Feb,2018,5000
Hingoli,Desi,Feb,2017,5350
Hingoli,Desi,Dec,2017,4550
Hingoli,Desi,Nov,2017,4250
Hingoli,Desi,Mar,2017,5250
Hingoli,Desi,Feb,2017,5350
Hingoli,Desi,Apr,2017,5100
Hingoli,Desi,Nov,2017,4200
Hingoli,Desi,Mar,2017,5350
Hingoli,Desi,Feb,2018,4900
Hingoli,Desi,Feb,2017,5350
Hingoli,Desi,Dec,2017,4500
Hingoli,Desi,Jan,2017,5150
Hingoli,Desi,Feb,2017,5350
Hingoli,Desi,Dec,2017,4500
Hingoli,Desi,Feb,2018,4950
Hingoli,Desi,Dec,2017,4500
Hingoli,Desi,Apr,2017,5150
Hingoli,Desi,Mar,2017,5350
Hingoli,Desi,Jan,2017,5400
Hingoli,Desi,Feb,2017,5550
Hingoli,Desi,Mar,2017,5450
Hingoli,Desi,Apr,2017,5350
Hingoli,Desi,Mar,2017,5525
Hingoli,Desi,Jan,2017,5300
