District,Variety,Month,Year
Wardha,Varaxmi,Jan,2019
Wardha,Desi,Jan,2019
Wardha,Other,Jan,2019
Wardha,H-4(A) 27mm FIne,Jan,2019
Wardha,LRA,Jan,2019
Wardha,N-44,Jan,2019
Wardha,DCH-32(Unginned),Jan,2019
Nagpur,Varaxmi,Jan,2019
Nagpur,Desi,Jan,2019
Nagpur,Other,Jan,2019
Nagpur,H-4(A) 27mm FIne,Jan,2019
Nagpur,LRA,Jan,2019
Nagpur,N-44,Jan,2019
Nagpur,DCH-32(Unginned),Jan,2019
Yavatmal,Varaxmi,Jan,2019
Yavatmal,Desi,Jan,2019
Yavatmal,Other,Jan,2019
Yavatmal,H-4(A) 27mm FIne,Jan,2019
Yavatmal,LRA,Jan,2019
Yavatmal,N-44,Jan,2019
Yavatmal,DCH-32(Unginned),Jan,2019
Chandrapur,Varaxmi,Jan,2019
Chandrapur,Desi,Jan,2019
Chandrapur,Other,Jan,2019
Chandrapur,H-4(A) 27mm FIne,Jan,2019
Chandrapur,LRA,Jan,2019
Chandrapur,N-44,Jan,2019
Chandrapur,DCH-32(Unginned),Jan,2019
Parbhani,Varaxmi,Jan,2019
Parbhani,Desi,Jan,2019
Parbhani,Other,Jan,2019
Parbhani,H-4(A) 27mm FIne,Jan,2019
Parbhani,LRA,Jan,2019
Parbhani,N-44,Jan,2019
Parbhani,DCH-32(Unginned),Jan,2019
Amarawati,Varaxmi,Jan,2019
Amarawati,Desi,Jan,2019
Amarawati,Other,Jan,2019
Amarawati,H-4(A) 27mm FIne,Jan,2019
Amarawati,LRA,Jan,2019
Amarawati,N-44,Jan,2019
Amarawati,DCH-32(Unginned),Jan,2019
Jalana,Varaxmi,Jan,2019
Jalana,Desi,Jan,2019
Jalana,Other,Jan,2019
Jalana,H-4(A) 27mm FIne,Jan,2019
Jalana,LRA,Jan,2019
Jalana,N-44,Jan,2019
Jalana,DCH-32(Unginned),Jan,2019
Beed,Varaxmi,Jan,2019
Beed,Desi,Jan,2019
Beed,Other,Jan,2019
Beed,H-4(A) 27mm FIne,Jan,2019
Beed,LRA,Jan,2019
Beed,N-44,Jan,2019
Beed,DCH-32(Unginned),Jan,2019
Buldhana,Varaxmi,Jan,2019
Buldhana,Desi,Jan,2019
Buldhana,Other,Jan,2019
Buldhana,H-4(A) 27mm FIne,Jan,2019
Buldhana,LRA,Jan,2019
Buldhana,N-44,Jan,2019
Buldhana,DCH-32(Unginned),Jan,2019
Nanded,Varaxmi,Jan,2019
Nanded,Desi,Jan,2019
Nanded,Other,Jan,2019
Nanded,H-4(A) 27mm FIne,Jan,2019
Nanded,LRA,Jan,2019
Nanded,N-44,Jan,2019
Nanded,DCH-32(Unginned),Jan,2019
Akola,Varaxmi,Jan,2019
Akola,Desi,Jan,2019
Akola,Other,Jan,2019
Akola,H-4(A) 27mm FIne,Jan,2019
Akola,LRA,Jan,2019
Akola,N-44,Jan,2019
Akola,DCH-32(Unginned),Jan,2019
Aurangabad,Varaxmi,Jan,2019
Aurangabad,Desi,Jan,2019
Aurangabad,Other,Jan,2019
Aurangabad,H-4(A) 27mm FIne,Jan,2019
Aurangabad,LRA,Jan,2019
Aurangabad,N-44,Jan,2019
Aurangabad,DCH-32(Unginned),Jan,2019
Wardha,Varaxmi,Feb,2019
Wardha,Desi,Feb,2019
Wardha,Other,Feb,2019
Wardha,H-4(A) 27mm FIne,Feb,2019
Wardha,LRA,Feb,2019
Wardha,N-44,Feb,2019
Wardha,DCH-32(Unginned),Feb,2019
Nagpur,Varaxmi,Feb,2019
Nagpur,Desi,Feb,2019
Nagpur,Other,Feb,2019
Nagpur,H-4(A) 27mm FIne,Feb,2019
Nagpur,LRA,Feb,2019
Nagpur,N-44,Feb,2019
Nagpur,DCH-32(Unginned),Feb,2019
Yavatmal,Varaxmi,Feb,2019
Yavatmal,Desi,Feb,2019
Yavatmal,Other,Feb,2019
Yavatmal,H-4(A) 27mm FIne,Feb,2019
Yavatmal,LRA,Feb,2019
Yavatmal,N-44,Feb,2019
Yavatmal,DCH-32(Unginned),Feb,2019
Chandrapur,Varaxmi,Feb,2019
Chandrapur,Desi,Feb,2019
Chandrapur,Other,Feb,2019
Chandrapur,H-4(A) 27mm FIne,Feb,2019
Chandrapur,LRA,Feb,2019
Chandrapur,N-44,Feb,2019
Chandrapur,DCH-32(Unginned),Feb,2019
Parbhani,Varaxmi,Feb,2019
Parbhani,Desi,Feb,2019
Parbhani,Other,Feb,2019
Parbhani,H-4(A) 27mm FIne,Feb,2019
Parbhani,LRA,Feb,2019
Parbhani,N-44,Feb,2019
Parbhani,DCH-32(Unginned),Feb,2019
Amarawati,Varaxmi,Feb,2019
Amarawati,Desi,Feb,2019
Amarawati,Other,Feb,2019
Amarawati,H-4(A) 27mm FIne,Feb,2019
Amarawati,LRA,Feb,2019
Amarawati,N-44,Feb,2019
Amarawati,DCH-32(Unginned),Feb,2019
Jalana,Varaxmi,Feb,2019
Jalana,Desi,Feb,2019
Jalana,Other,Feb,2019
Jalana,H-4(A) 27mm FIne,Feb,2019
Jalana,LRA,Feb,2019
Jalana,N-44,Feb,2019
Jalana,DCH-32(Unginned),Feb,2019
Beed,Varaxmi,Feb,2019
