,District,Variety,Month,Year,Price
0,Wardha,Varaxmi,Jan,2019,4490
1,Wardha,Desi,Jan,2019,4558
2,Wardha,Other,Jan,2019,4554
3,Wardha,H-4(A) 27mm FIne,Jan,2019,4794
4,Wardha,LRA,Jan,2019,4571
5,Wardha,N-44,Jan,2019,4559
6,Wardha,DCH-32(Unginned),Jan,2019,4587
7,Nagpur,Varaxmi,Jan,2019,4850
8,Nagpur,Desi,Jan,2019,4863
9,Nagpur,Other,Jan,2019,4848
10,Nagpur,H-4(A) 27mm FIne,Jan,2019,4812
11,Nagpur,LRA,Jan,2019,4910
12,Nagpur,N-44,Jan,2019,4862
13,Nagpur,DCH-32(Unginned),Jan,2019,4648
14,Yavatmal,Varaxmi,Jan,2019,4807
15,Yavatmal,Desi,Jan,2019,4734
16,Yavatmal,Other,Jan,2019,4715
17,Yavatmal,H-4(A) 27mm FIne,Jan,2019,4842
18,Yavatmal,LRA,Jan,2019,4694
19,Yavatmal,N-44,Jan,2019,4737
20,Yavatmal,DCH-32(Unginned),Jan,2019,4587
21,Chandrapur,Varaxmi,Jan,2019,4597
22,Chandrapur,Desi,Jan,2019,4659
23,Chandrapur,Other,Jan,2019,4657
24,Chandrapur,H-4(A) 27mm FIne,Jan,2019,4733
25,Chandrapur,LRA,Jan,2019,4665
26,Chandrapur,N-44,Jan,2019,4658
27,Chandrapur,DCH-32(Unginned),Jan,2019,4589
28,Parbhani,Varaxmi,Jan,2019,4857
29,Parbhani,Desi,Jan,2019,4779
30,Parbhani,Other,Jan,2019,4662
31,Parbhani,H-4(A) 27mm FIne,Jan,2019,4865
32,Parbhani,LRA,Jan,2019,4780
33,Parbhani,N-44,Jan,2019,4781
34,Parbhani,DCH-32(Unginned),Jan,2019,4603
35,Amarawati,Varaxmi,Jan,2019,4708
36,Amarawati,Desi,Jan,2019,4715
37,Amarawati,Other,Jan,2019,4699
38,Amarawati,H-4(A) 27mm FIne,Jan,2019,4847
39,Amarawati,LRA,Jan,2019,4720
40,Amarawati,N-44,Jan,2019,4720
41,Amarawati,DCH-32(Unginned),Jan,2019,4587
42,Jalana,Varaxmi,Jan,2019,4028
43,Jalana,Desi,Jan,2019,4165
44,Jalana,Other,Jan,2019,4165
45,Jalana,H-4(A) 27mm FIne,Jan,2019,4306
46,Jalana,LRA,Jan,2019,4165
47,Jalana,N-44,Jan,2019,4165
48,Jalana,DCH-32(Unginned),Jan,2019,4165
